a4#dockernode#install: NotNeeded
a4#dockernode#buildsrc: OK
a4#dockernode#checksrc: OK
a4Base#dockernode#install: OK
a4Base#dockernode#buildsrc: OK
a4Base#dockernode#checksrc: OK
a4Classif#dockernode#install: OK
a4Classif#dockernode#buildsrc: OK
a4Classif#dockernode#checksrc: OK
a4Core#dockernode#install: OK
a4Core#dockernode#buildsrc: OK
a4Core#dockernode#checksrc: OK
a4Preproc#dockernode#install: OK
a4Preproc#dockernode#buildsrc: OK
a4Preproc#dockernode#checksrc: OK
a4Reporting#dockernode#install: OK
a4Reporting#dockernode#buildsrc: OK
a4Reporting#dockernode#checksrc: OK
